STT,English,Vietnamese,,
102,"""Cooking is easy to talk about, but to stick with it, I think you need to have heart, especially working without minding the effort,"" shared Mrs. Yen.","""Nấu ăn nói thì dễ nhưng để gắn bó với nó tôi nghĩ cần có tấm lòng và đặc biệt làm không nệ công như thế này"", bà Yến chia sẻ.",,
103,"To prepare thousands of free meals on time, Mrs. Yen and others have no moment to rest.","Để kịp nấu cả ngàn suất cơm 0 đồng, bà Yến và những người khác không có phút nào ngơi tay.",,
104,"""Rice and some vegetables are all donated by benefactors.","""Gạo và một số rau củ quả đều được các nhà hảo tâm góp cho.",,
105,"We have to calculate how to change the dishes, alternating daily meals while keeping them nutritious,"" said Mrs. Yen as she put the pot of rice on the stove.","Các nguyên liệu này chúng tôi phải tính toán để làm sao thay đổi món, nấu luân phiên món ăn hằng ngày nhưng dinh dưỡng"", bà Yến nói rồi bắc nồi cơm lên bếp.",,
106,"The charity kitchen of the Red Cross Society and the Association for Supporting Poor Patients of Duong Dong Ward is located at Phu Quoc City Medical Center, covering only about 30 square meters, but Mrs. Yen and others have arranged it neatly.","Bếp ăn tình thương của Hội chữ thập đỏ, hội Bảo trợ bệnh nhân nghèo phường Dương Đông được đặt ở Trung tâm Y tế TP Phú Quốc chỉ vỏn vẹn khoảng 30m2, nhưng được bà Yến và các cô chú khác bố trí ngăn nắp, gọn gàng.",,
107,The kitchen used for cooking is just a large gas stove.,Bếp dùng nấu ăn cũng chỉ là cái bếp gas lớn.,,
108,"Receiving a meal, Mrs. Le Thi Anh Thu (from Ham Ninh Commune, Phu Quoc City) said: ""My child has been receiving kidney treatment here for a long time.","Nhận một phần cơm, bà Lê Thị Ánh Thu (ở xã Hàm Ninh, TP Phú Quốc) nói: ""Con tôi bệnh thận nằm điều trị ở đây lâu rồi.",,
109,"My family is struggling and can't afford my child's treatment, but luckily, this charity kitchen provides free rice and porridge, so I feel much relieved.","Nhà khó khăn không đủ tiền trị bệnh cho con tôi nhưng may mắn có bếp ăn tình thương này cho cơm, cháo miễn phí nên tôi đỡ lắm.",,
110,The rice cooked here by the ladies tastes just like home.,Cơm đây các cô nấu ngon đúng vị nhà làm.,,
111,"In this difficult situation, even though the meal sometimes consists of vegetables or tofu, the effort they put into cooking is deeply appreciated.""","Rơi vào cảnh ngặt nghèo này dù có khi bữa cơm có rau, củ hay đậu hũ nhưng cô chú bỏ công nấu thì quý biết bao nhiêu"".",,
112,"Another personal story comes from Ms. Do Bich Tuyen, who shared: ""If it weren't for this kitchen, even if I worked hard collecting recyclables on the streets, I still wouldn't have enough food for my children.","Một cảnh đời riêng khác là chị Đỗ Bích Tuyền lại là những chia sẻ qua lúc ngặt: ""Nếu không có bếp ăn này, tôi có đi vất vả lượm ve chai ngoài đường cũng chưa chắc có đủ cái ăn cho con.",,
113,"I have many children, and my husband works hard at sea all year without saving much, but luckily, I found out about this kitchen and asked to help out.""","Nhà nghèo, con đông, chồng đi biển quần quật cả năm cũng không có dư dả gì, may mắn tôi biết được bếp ăn này rồi xin vô phụ việc"".",,
114,Helping abandoned infants find a family home,iúp trẻ sơ sinh bị bỏ rơi có mái ấm gia đình,,
115,"Ms. Tran Thi Bich Lieu, who adopted an abandoned boy in Phu Quoc, said that when she heard the Duong Dong Ward Charity Association had helped an abandoned baby boy and the local authorities announced they were looking for the child's relatives (but no one has come forward), she decided to visit.",Chị Trần Thị Bích Liễu - người nhận nuôi cháu trai bị bỏ rơi ở Phú Quốc - cho biết khi hay tin Hội Bảo trợ bệnh nhân nghèo phường Dương Đông vừa giúp đỡ một bé trai bị bỏ rơi và địa phương thông báo tìm người thân (nhưng đến nay không ai nhận cha mẹ ruột hay người thân của cháu) chị đã tìm đến.,,
116,"""I have been staying here with the child for the past few days and am completing the adoption paperwork because no biological parents have come to claim him,"" shared Ms. Lieu.","""Mấy ngày nay tôi ở đây với cháu và đang làm thủ tục xin con nuôi vì không có cha mẹ ruột đến nhận"", chị Liễu chia sẻ.",,
117,"Ms. Cam Chi also mentioned that in recent years, many people from different places have moved to Phu Quoc to work and live, and there are quite a few poor laborers.",Bà Cẩm Chí cũng cho biết Phú Quốc những năm gần đây dân tứ xứ cũng đổ về mần ăn sinh sống nhiều và người lao động nghèo cũng không ít.,,
118,"Life is hard and impoverished, leading to some people who cannot afford to raise their children and end up giving them away or abandoning them.","Cuộc sống khó khăn, nghèo khổ nên kéo theo số ít người sinh con ra rồi không đủ điều kiện nuôi đem đi cho hoặc bỏ rơi.",,
119,"""When children are abandoned by their parents, we help and advocate for them, taking care of them until they find a new family,"" said Ms. Chi.","""Các cháu bị cha mẹ bỏ rơi, chúng tôi hay được đều giúp đỡ và vận động để chăm lo đến khi các cháu có gia đình mới"", bà Chí nói.",,
120,The charity kitchen was established in 2003.,Bếp ăn tình thương được thành lập từ năm 2003.,,
121,"To keep the fire burning and cook these loving meals, besides mobilizing benefactors, Mrs. Nguyen Thi Cam Chi, vice president of the Duong Dong Ward Charity Association (Phu Quoc City), sometimes even spent 100 million VND of her own money to buy food for poor patients.","Để bếp đỏ lửa nấu lên những suất ăn yêu thương, ngoài vận động nhà hảo tâm, bà Nguyễn Thị Cẩm Chí - phó chủ tịch Hội Bảo trợ bệnh nhân nghèo phường Dương Đông (TP Phú Quốc) - có lúc còn bỏ tiền túi ra 100 triệu đồng mua thực phẩm nấu cho bệnh nhân nghèo.",,
122,"""Those who have money contribute money, those with strength contribute labor. No one begrudges anyone, and we all work happily. As long as the poor and sick can overcome their hardships, the rest of us will enthusiastically support them,"" Mrs. Chi generously said, in her distinct Southern accent.","""Ai có của giúp của, ai có sức góp công. Làm việc không ai nạnh ai và rất vui vẻ. Miễn sao bà con nghèo, bệnh nhân nghèo vượt qua nghịch cảnh thì tôi và các cô chú còn lại đều nhiệt tình ủng hộ hết"", bà Chí hào sảng nói rặt theo lối miền Tây.",,
123,"The people of Phu Quoc are compassionate and generous, helping each other in times of hardship.",Người dân Phú Quốc nghĩa tình và hào sảng giúp đỡ nhau trong những lúc thắt ngặt khó khăn là vậy.,,
124,"Therefore, in addition to the 1,000 daily servings of porridge and rice, the local community has also established a live blood bank (currently about 40-50 people) ready to donate blood when a patient is in need.","Do đó, ngoài 1.000 suất cháo, cơm mỗi ngày, địa phương còn thành lập ngân hàng máu sống (hiện khoảng 40 - 50 người) sẵn sàng cho máu khi có người bệnh cần.",,
125,"Every day a good news, every week a beautiful story","Mỗi ngày một tin tốt, mỗi tuần một câu chuyện đẹp",,
